confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
838	1	1	1	1	0.11030503425944109	-46.606341614537534	0.9999999999999999	47.88905291813765	C18H26N4O5	[M + H]+	LNXVDPYMLLCQEP	InChI=1S/C18H26N4O5/c1-11(2)16(22-15(24)10-20-14(23)9-19)17(25)21-13(18(26)27)8-12-6-4-3-5-7-12/h3-7,11,13,16H,8-10,19H2,1-2H3,(H,20,23)(H,21,25)(H,22,24)(H,26,27)	2-[[2-[[2-[(2-aminoacetyl)amino]acetyl]amino]-3-methylbutanoyl]amino]-3-phenylpropanoic acid	CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)CNC(=O)CN	-0.332410842	18487880;45279459	PubChem:(18487880 45279459)	2	379.19753	169.42	493_clematis_10_species_crop2-10min_231127_orbi_siri_496	496
839	1	1	1	1	0.11002576546244157	-79.0760002941995	0.9999999999999999	34.95446204408234	C15H31NO2	[M + H]+	QIGYRHZXILJBGB	InChI=1S/C15H31NO2/c1-2-3-4-5-6-7-8-9-10-11-12-15(18)16-13-14-17/h17H,2-14H2,1H3,(H,16,18)	Tridecanamide, N-(2-hydroxyethyl)-	CCCCCCCCCCCCC(=O)NCCO	4.5999999	14455156	PubChem:(14455156);PubMed	66	258.2427	463.73	1594_clematis_10_species_crop2-10min_231127_orbi_siri_1605	1605
840	1	1	1	1	0.10999687489255373	-216.2495385138363	0.9999999999999999	78.38510990440784	C14H23NO6	[M + H]+	MNLDKPACWKJUGN	InChI=1S/C14H23NO6/c1-7(16)15-6-8-9-10(19-13(2,3)18-9)11-12(17-8)21-14(4,5)20-11/h8-12H,6H2,1-5H3,(H,15,16)	N-[[(3aR,5R,5aS,8aS,8bR)-2,2,7,7-tetramethyl-5,5a,8a,8b-tetrahydro-3aH-di[1,3]dioxolo[4,5-a:5'',4''-d]pyran-5-yl]methyl]acetamide	CC(=O)NCC1C2C(C3C(O1)OC(O3)(C)C)OC(O2)(C)C	0.0	21633323	PubChem:(21633323)	2	302.15981	181.93	653_clematis_10_species_crop2-10min_231127_orbi_siri_656	656
841	1	1	1	1	0.10976006702590763	-139.38371649826325	0.9999999999999999	49.79179083733884	C16H27NO3	[M + H]+	QJMRFCDUMVCLGK	InChI=1S/C16H27NO3/c18-15(10-12-6-2-1-3-7-12)17-11-13-8-4-5-9-14(13)16(19)20/h12-14H,1-11H2,(H,17,18)(H,19,20)	null	C1CCC(CC1)CC(=O)NCC2CCCCC2C(=O)O	3.5999999	65880363;108755729	PubChem:(65880363 108755729)	2	282.2054	168.25	480_clematis_10_species_crop2-10min_231127_orbi_siri_483	483
842	1	1	1	1	0.10969275446547884	-89.43524670849742	0.9999999999999999	91.90656637671555	C20H24O6	[M + H]+	SBLZVJIHPWRSQQ	InChI=1S/C20H24O6/c1-24-17-10-13(5-6-16(17)23)19-15(11-22)14-8-12(4-3-7-21)9-18(25-2)20(14)26-19/h5-6,8-10,15,19,21-23H,3-4,7,11H2,1-2H3	Cedrusin	COC1=CC(=CC2=C1OC(C2CO)C3=CC(=C(C=C3)O)OC)CCCO	2.0999999	384679;4365980;5274623;11595642;46898348;71599997	COCONUT:(CNP0251283);KNApSAcK:(672);Natural Products:(UNPD158106 UNPD221688 UNPD150296 UNPD4105);PubChem:(384679 4365980 5274623 11595642 46898348 71599997);SuperNatural:(SN00290797 SN00157689 SN00143274);CHEBI:(143258 143257);MeSH:(5274623);Training Set;PubMed	3194998	361.16482	196.85	801_clematis_10_species_crop2-10min_231127_orbi_siri_804	804
843	1	1	1	1	0.10964273807230805	-124.27667834799489	0.9999999999999999	3.1412360250518767	C14H30N2O2	[M + H]+	FTEXBQHHBNDOEJ	InChI=1S/C14H30N2O2/c1-4-5-6-7-8-9-10-16(13-14(17)18)12-11-15(2)3/h4-13H2,1-3H3,(H,17,18)	null	CCCCCCCCN(CCN(C)C)CC(=O)O	1.0	107425147	PubChem:(107425147)	2	259.23803	292.37	1410_clematis_10_species_crop2-10min_231127_orbi_siri_1421	1421
844	1	1	1	1	0.10957326546461398	-44.70365725016702	0.9999999999999999	152.29096062920908	C22H43NO2	[M + H]+	YDKRGMXLBRWZJR	InChI=1S/C22H43NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h9-10,24H,2-8,11-21H2,1H3,(H,23,25)	Anandamide (20:l, n-9)	CCCCCCCCC=CCCCCCCCCCC(=O)NCCO	7.4000001	5283452;101930500	PubChem:(5283452 101930500);PubMed;CHEBI:(73725)	98	354.33666	568.51	1743_clematis_10_species_crop2-10min_231127_orbi_siri_1755	1755
845	1	6	1	6	0.10949648884614513	-178.97842012512527	0.07386934673366834	13.976028998784589	C40H56O6	[M + H]+	MNUMHDZZMWCBBX	InChI=1S/C40H56O6/c1-27(14-12-15-29(3)20-21-35-36(6,7)24-33(45-31(5)41)25-38(35,10)44)18-19-28(2)16-13-17-30(4)34(43)26-40-37(8,9)22-32(42)23-39(40,11)46-40/h12-20,32-33,42,44H,22-26H2,1-11H3	null	CC(=CC=C(C)C=CC=C(C)C(=O)CC12C(CC(CC1(O2)C)O)(C)C)C=CC=C(C)C=C=C3C(CC(CC3(C)O)OC(=O)C)(C)C	7.4000001	54585187	PubChem:(54585187);PubMed	66	633.41452	512.45	1646_clematis_10_species_crop2-10min_231127_orbi_siri_1657	1657
846	1	11	1	11	0.1091102680535669	-89.36998013583478	0.012562814070351761	47.360920433092325	C16H30O8	[M + K]+	HFTPLRNDWPXLHU	InChI=1S/C16H30O8/c1-2-3-4-5-6-7-10(8-12(18)19)23-16-15(22)14(21)13(20)11(9-17)24-16/h10-11,13-17,20-22H,2-9H2,1H3,(H,18,19)	null	CCCCCCCC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O	0.899999976	129086453	PubChem:(129086453)	2	389.15791	144.35	223_clematis_10_species_crop2-10min_231127_orbi_siri_226	226
847	1	1	1	1	0.10890919275812865	-80.125022314107	0.9999999999999999	136.72738409518936	C13H14O3	[M + H]+	RKOJDTTXNIHDBO	InChI=1S/C13H14O3/c1-3-9-16-12-7-6-11(5-4-8-14)10-13(12)15-2/h3-8,10H,1,9H2,2H3	null	COC1=C(C=CC(=C1)C=CC=O)OCC=C	2.4000001	79331397	PubChem:(79331397)	2	219.10142	180.47	637_clematis_10_species_crop2-10min_231127_orbi_siri_640	640
848	1	1	1	1	0.10868474515392335	-48.106868289320076	0.9999999999999999	28.141932916536835	C26H34O12	[M + Na]+	DJRNHAFROSMVLC	InChI=1S/C26H34O12/c1-34-18-7-12(3-5-16(18)30)24-14(9-27)15(10-28)25(38-24)13-4-6-17(19(8-13)35-2)36-26-23(33)22(32)21(31)20(11-29)37-26/h3-8,14-15,20-33H,9-11H2,1-2H3	(2S,3R,4S,5S,6R)-2-[4-[(2R,3S,4S,5R)-5-(4-hydroxy-3-methoxyphenyl)-3,4-bis(hydroxymethyl)oxolan-2-yl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	COC1=C(C=CC(=C1)C2C(C(C(O2)C3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)CO)CO)O	-0.5	11753020	COCONUT:(CNP0187704);Natural Products:(UNPD125445 UNPD176519 UNPD229024 UNPD56144);PubChem:(11753020);SuperNatural:(SN00278377 SN00384488 SN00257038)	3178498	561.19349	195.12	781_clematis_10_species_crop2-10min_231127_orbi_siri_784	784
849	1	1	1	1	0.10866708557501112	-4.207175529182113	0.9999999999999999	88.96591385826892	C44H80NO8P	[M + Na]+	FVXDQWZBHIXIEJ	InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14-17,20-23,42H,6-13,18-19,24-41H2,1-5H3/p+1	Dlpc lipid	CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC	12.5	102535;160855;446961;3034687;6020820;6168933;5288075;5313513;5313521;5313522;6323282;6440944;6509852;24778969;24778975;46936959;46936960	HMDB:(8138);additional;MeSH:(5288075 6440944);Plantcyc:(CPD-2182);PubMed;Lipid:(PC 36:4);COCONUT:(CNP0178098);PubChem:(102535 160855 446961 3034687 6020820 6168933 5288075 5313513 5313521 5313522 6323282 6440944 6509852 24778969 24778975 46936959 46936960);CHEBI:(42027);PubChem class - bio and metabolites;YMDB:(1961);Training Set;PubChem class - drug;Biocyc:(CPD-2182)	4348135534	804.55128	596.37	1805_clematis_10_species_crop2-10min_231127_orbi_siri_1817	1817
850	1	1	1	1	0.10844425354609512	-52.199298618565486	0.9999999999999999	13.481430380603534	C21H38O8	[M + Na]+	WKYGQQFTDYRORI	InChI=1S/C21H38O8/c1-6-21(5,27)11-7-8-13(2)9-10-15(23)20(3,4)29-19-18(26)17(25)16(24)14(12-22)28-19/h6,8,14-19,22-27H,1,7,9-12H2,2-5H3	(2S,3R,4S,5S,6R)-2-[(3R,6E,10S)-3,10-dihydroxy-2,6,10-trimethyldodeca-6,11-dien-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	CC(=CCCC(C)(C=C)O)CCC(C(C)(C)OC1C(C(C(C(O1)CO)O)O)O)O	0.699999988	16086631;21629840;45783239	COCONUT:(CNP0264387);KNApSAcK:(11407);Natural Products:(UNPD96165 UNPD111162 UNPD106661);PubChem:(16086631 21629840 45783239);SuperNatural:(SN00034498 SN00321673 SN00030772 SN00034499 SN00034497);ZINC bio:(ZINC35050063 ZINC35466047 ZINC35466048 ZINC35466050)	3186706	441.24633	241.95	1179_clematis_10_species_crop2-10min_231127_orbi_siri_1183	1183
851	1	1	1	1	0.10813012034331777	-40.554237816588355	0.9999999999999999	204.72923019300873	C30H46O3	[M + H]+	MUCRYNWJQNHDJH	InChI=1S/C30H46O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-22,24H,9-17H2,1-7H3,(H,32,33)	Ursonic Aicd, 17	CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1C)C)C(=O)O	7.0	6454401;9890209;9890210;10939393;13893948;13893949;25032477;49773832;53389348;124389426;124397198;126455243;129316921;131632297	COCONUT:(CNP0191998 CNP0222102);HMDB:(36007);KNApSAcK:(32465);Natural Products:(UNPD16285 UNPD45976);PubChem:(6454401 9890209 9890210 10939393 13893948 13893949 25032477 49773832 53389348 124389426 124397198 126455243 129316921 131632297);SuperNatural:(SN00159349 SN00238617 SN00383815);PubChem class - bio and metabolites;MeSH:(13893949);PubMed;KEGG Mine	8609890398	455.35174	379.14	1484_clematis_10_species_crop2-10min_231127_orbi_siri_1495	1495
852	1	1	1	1	0.1079378121630095	-189.39755993534982	0.9999999999999999	110.54963414492727	C16H33NO8	[M + H]+	AXHJIJHDXBZLOJ	InChI=1S/C16H33NO8/c1-19-16(18)2-4-20-6-8-22-10-12-24-14-15-25-13-11-23-9-7-21-5-3-17/h2-15,17H2,1H3	null	COC(=O)CCOCCOCCOCCOCCOCCOCCN	-1.79999995	98590416	PubChem:(98590416)	2	368.22808	284.38	1385_clematis_10_species_crop2-10min_231127_orbi_siri_1394	1394
853	1	1	1	1	0.10786850801624451	-156.62421286626957	0.9979899497487437	20.304184263086036	C18H33NO9	[M + H]+	JKLHMGRTNQRQRG	InChI=1S/C18H33NO9/c1-11(12(2)21)5-3-4-6-19-14(22)10-26-7-8-27-18-17(25)16(24)15(23)13(9-20)28-18/h11,13,15-18,20,23-25H,3-10H2,1-2H3,(H,19,22)	null	CC(CCCCNC(=O)COCCOC1C(C(C(C(O1)CO)O)O)O)C(=O)C	-1.60000002	122496320	PubChem:(122496320)	2	408.22324	195.81	795_clematis_10_species_crop2-10min_231127_orbi_siri_798	798
854	1	1	1	1	0.10766938691037402	-62.27800077753659	0.9999999999999999	166.99645781057706	C18H37NO3	[M + H]+	CQKNELOTFUSOTP	InChI=1S/C18H37NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)18(22)16(19)15-20/h10-11,16-18,20-22H,2-9,12-15,19H2,1H3	4-hydroxy-8-sphingenine	CCCCCCCCCC=CCCCC(C(C(CO)N)O)O	3.70000005	11174511;14757418;14757419;25203815;57184518;71356533;86290044;91819912;101214579;102209901;102397042	COCONUT:(CNP0104894);HMDB:(38057);Natural Products:(UNPD67326 UNPD142582 UNPD107172);PubChem:(11174511 14757418 14757419 25203815 57184518 71356533 86290044 91819912 101214579 102209901 102397042);SuperNatural:(SN00346326 SN00383138 SN00274633);CHEBI:(83175 20386);PubChem class - bio and metabolites;MeSH:(14757418);Plantcyc:(CPD-10693);PubMed;Biocyc:(CPD-10693 CPD-17588)	20088942	316.28496	385.27	1493_clematis_10_species_crop2-10min_231127_orbi_siri_1504	1504
855	1	1	1	1	0.10766432965680399	-160.83689021383842	0.9999999999999999	20.7420914864616	C13H23NO3	[M + H]+	NWJRSKLPMSAWOX	InChI=1S/C13H23NO3/c1-11(5-3-9-15)4-2-6-12(7-8-14)10-13(16)17/h11-12,15H,2-7,9-10H2,1H3,(H,16,17)	null	CC(CCCC(CC#N)CC(=O)O)CCCO	2.0999999	88029634	PubChem:(88029634)	2	242.17439	206.18	892_clematis_10_species_crop2-10min_231127_orbi_siri_895	895
856	1	1	1	1	0.10747525772590558	-104.09853199043643	0.9999999999999999	102.72256416497693	C13H20O7	[M + H]+	KLVFVPCOJLOJLV	InChI=1S/C13H20O7/c14-10(5-6-11(15)16)4-2-1-3-9-20-13(19)8-7-12(17)18/h1-9H2,(H,15,16)(H,17,18)	null	C(CCC(=O)CCC(=O)O)CCOC(=O)CCC(=O)O	-0.300000012	57557694	PubChem:(57557694)	2	289.12841	213.76	980_clematis_10_species_crop2-10min_231127_orbi_siri_983	983
857	1	1	1	4	0.1071565952110306	-28.82116980988075	0.9030150753768845	33.47408569039411	C15H18O8	[M + H]+	GVRIYIMNJGULCZ	InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(23-10)22-9-4-2-1-3-8(9)5-6-11(17)18/h1-6,10,12-16,19-21H,7H2,(H,17,18)	Melilotoside	C1=CC=C(C(=C1)C=CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O	-0.391159326	101800;5117619;5280759;5316113;6275271;15560466;22524167;25202776;25796113;40473153;56612793;59950525;90790769;91501158	HMDB:(33581 60077);SuperNatural:(SN00006891 SN00389835 SN00321026 SN00020472);ZINC bio:(ZINC04096644 ZINC13540313);additional;Plantcyc:(CPD-459 CPD-7417);PubMed;COCONUT:(CNP0042952 CNP0356741);Natural Products:(UNPD147115 UNPD230548 UNPD139208);PubChem:(101800 5117619 5280759 5316113 6275271 15560466 22524167 25202776 25796113 40473153 56612793 59950525 90790769 91501158);CHEBI:(62251 62223 58181 17531);PubChem class - bio and metabolites;KEGG:(C05839 C05158);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-7417 CPD-459)	87746922	327.10795	139.88	180_clematis_10_species_crop2-10min_231127_orbi_siri_183	183
858	1	3	1	8	0.107065884853122	-273.55389640467564	0.18643216080402014	106.73741662661509	C23H33NO13	[M + Na]+	MDHGVFXEYFQUKV	InChI=1S/C23H33NO13/c1-8-9-33-23(22(30)31-7)10-17(34-14(4)27)19(24-12(2)25)21(37-23)20(36-16(6)29)18(35-15(5)28)11-32-13(3)26/h8,17-21H,1,9-11H2,2-7H3,(H,24,25)	methyl (2R,4S,5R,6R)-5-acetamido-4-acetyloxy-2-prop-2-enoxy-6-[(1S,2R)-1,2,3-triacetyloxypropyl]oxane-2-carboxylate	CC(=O)NC1C(CC(OC1C(C(COC(=O)C)OC(=O)C)OC(=O)C)(C(=O)OC)OCC=C)OC(=O)C	-0.668009996	11295512	PubChem:(11295512)	2	554.18679	229.83	1113_clematis_10_species_crop2-10min_231127_orbi_siri_1117	1117
859	1	1	1	1	0.10697740379382437	-102.16983921463647	0.9999999999999999	208.26708653851557	C25H38O3	[M + Na]+	LEYXIWMJDMKBJX	InChI=1S/C25H38O3/c1-15(5-6-16(2)26)19-7-8-20-23-21(10-12-25(19,20)4)24(3)11-9-18(27)13-17(24)14-22(23)28/h15,17,19-21,23H,5-14H2,1-4H3	(5S,10S)-10,13-dimethyl-17-(5-oxohexan-2-yl)-2,4,5,6,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,7-dione	CC(CCC(=O)C)C1CCC2C1(CCC3C2C(=O)CC4C3(CCC(=O)C4)C)C	4.4000001	58752738;130209593	PubChem:(58752738 130209593)	2	409.27312	492.13	1624_clematis_10_species_crop2-10min_231127_orbi_siri_1635	1635
860	1	1	1	4	0.1067879551487627	-263.49149218693043	0.4060301507537689	7.404809595467178	C22H22N4O7	[M + Na]+	PESCJWNTROXMSF	InChI=1S/C22H22N4O7/c1-4-32-20-13-18(26(29)30)16(12-19(20)31-3)21(27)23-14-7-6-8-15(11-14)25-10-9-17(24-25)22(28)33-5-2/h6-13H,4-5H2,1-3H3,(H,23,27)	null	CCOC1=C(C=C(C(=C1)[N+](=O)[O-])C(=O)NC2=CC(=CC=C2)N3C=CC(=N3)C(=O)OCC)OC	3.4000001	39015076	PubChem:(39015076)	2	477.13758	262.44	1314_clematis_10_species_crop2-10min_231127_orbi_siri_1321	1321
861	1	1	1	3	0.10667302809619057	-70.5122373361309	0.970854271356784	56.14535588119731	C16H28O7	[M + K]+	XCDBIENWUFNOHL	InChI=1S/C16H28O7/c1-8-9(16(2,3)5-4-10(8)18)7-22-15-14(21)13(20)12(19)11(6-17)23-15/h10-15,17-21H,4-7H2,1-3H3	null	CC1=C(C(CCC1O)(C)C)COC2C(C(C(C(O2)CO)O)O)O	-1.20000005	125416559;125416560;129008985	COCONUT:(CNP0224704);Training Set;PubChem:(125416559 125416560 129008985)	2113538	371.14631	211.79	951_clematis_10_species_crop2-10min_231127_orbi_siri_954	954
862	1	1	1	2	0.10658690712369208	-174.1745274350462	0.764321608040201	14.580119530503998	C23H40N2O8	[M + H]+	PAOPYNLLVVQPGJ	InChI=1S/C23H40N2O8/c26-19(24-17-22(30)31)16-15-18(23(32)33)25-20(27)13-11-9-7-5-3-1-2-4-6-8-10-12-14-21(28)29/h18H,1-17H2,(H,24,26)(H,25,27)(H,28,29)(H,30,31)(H,32,33)	null	C(CCCCCCCC(=O)O)CCCCCCC(=O)NC(CCC(=O)NCC(=O)O)C(=O)O	3.9000001	139387658	PubChem:(139387658)	2	473.28541	300.97	1424_clematis_10_species_crop2-10min_231127_orbi_siri_1435	1435
863	1	1	1	4	0.10657849357082724	-300.452834323059	0.6618090452261306	63.36157371025734	C24H23N5O7	[M + H]+	JXYFDVUNTZXMIL	InChI=1S/C24H23N5O7/c30-21(25-17-4-6-18(7-5-17)28-11-13-35-14-12-28)15-36-19-8-1-16(2-9-19)3-10-20-26-23(31)22(29(33)34)24(32)27-20/h1-10H,11-15H2,(H,25,30)(H2,26,27,31,32)	null	C1COCCN1C2=CC=C(C=C2)NC(=O)COC3=CC=C(C=C3)C=CC4=NC(=C(C(=O)N4)[N+](=O)[O-])O	2.4000001	125615887	PubChem:(125615887)	2	494.16627	143.82	194_clematis_10_species_crop2-10min_231127_orbi_siri_197	197
864	1	1	1	3	0.10613063026774945	-310.7563738427966	0.8165829145728644	81.82033281458604	C18H36N2O7	[M + H]+	JADJVNYLRVGQMF	InChI=1S/C18H36N2O7/c1-2-8-19-9-4-3-5-10-20-11-6-7-13(22)15(24)17(26)18(27)16(25)14(23)12-21/h15-21,24-27H,2-12H2,1H3	null	CCCNCCCCCNCCCC(=O)C(C(C(C(C(=O)CO)O)O)O)O	-2.0999999	123409966	PubChem:(123409966)	2	393.26057	531.47	1675_clematis_10_species_crop2-10min_231127_orbi_siri_1686	1686
865	1	1	1	1	0.10578377530027153	-74.57660940141362	0.9999999999999999	96.59458702880666	C13H18O	[M + H]+	CBQXHTWJSZXYSK	InChI=1S/C13H18O/c1-5-6-7-12-10(2)8-11(14)9-13(12,3)4/h5-8H,9H2,1-4H3	Tabanone	CC=CC=C1C(=CC(=O)CC1(C)C)C	2.5999999	107631;6437348;6437349;6437596;6437599;18645216;139594485	NORMAN:(NS00012021);COCONUT:(CNP0248294);Natural Products:(UNPD91433);PubChem class - food;PubChem:(107631 6437348 6437349 6437596 6437599 18645216 139594485);SuperNatural:(SN00298467 SN00160702);PubChem class - safety and toxic;YMDB:(1739);PubMed	204832834	191.14313	208.85	944_clematis_10_species_crop2-10min_231127_orbi_siri_947	947
866	1	2	1	1	0.10572863418576038	-164.398154494505	0.14321608040201003	5.2479997794066175	C13H14N6O2	[M + H]+	RJMIKYRCNNIIBA	InChI=1S/C13H14N6O2/c1-4-21-13(20)10-5-14-18-6-8(2)11(15-12(10)18)19-7-9(3)16-17-19/h5-7H,4H2,1-3H3	null	CCOC(=O)C1=C2N=C(C(=CN2N=C1)C)N3C=C(N=N3)C	1.10000002	121361666	PubChem:(121361666)	2	287.12535	247.96	1228_clematis_10_species_crop2-10min_231127_orbi_siri_1232	1232
867	1	1	1	2	0.10567037690061758	-157.21825093104277	0.9125628140703519	9.227386350447466	C22H32N4O	[M + Na]+	ILGUEQBVFPLRRO	InChI=1S/C22H32N4O/c27-21(15-25-5-7-26(8-6-25)20-3-1-2-4-23-20)24-16-22-12-17-9-18(13-22)11-19(10-17)14-22/h1-4,17-19H,5-16H2,(H,24,27)	null	C1CN(CCN1CC(=O)NCC23CC4CC(C2)CC(C4)C3)C5=CC=CC=N5	3.4000001	4824554;8545996	PubChem:(4824554 8545996)	2	391.24612	394.68	1502_clematis_10_species_crop2-10min_231127_orbi_siri_1513	1513
868	1	1	1	1	0.1054329113029179	-161.3559524556813	0.9999999999999999	23.87574890014544	C16H27NO2	[M + Na]+	XMQNKIIRTKRPGG	InChI=1S/C16H27NO2/c18-16(19)13-8-3-4-9-15(13)17-11-5-10-14(17)12-6-1-2-7-12/h12-15H,1-11H2,(H,18,19)	null	C1CCC(C1)C2CCCN2C3CCCCC3C(=O)O	1.39999998	63069545	PubChem:(63069545)	2	288.19347	255.6	1279_clematis_10_species_crop2-10min_231127_orbi_siri_1285	1285
869	1	1	1	3	0.10536891960140864	-24.08438661712119	0.7844221105527638	7.9047332745128935	C19H28O10	[M + Na]+	ZRGXCWYRIBRSQA	InChI=1S/C19H28O10/c20-11-8-27-18(16(24)13(11)21)28-9-12-14(22)15(23)17(25)19(29-12)26-7-6-10-4-2-1-3-5-10/h1-5,11-25H,6-9H2	2-Phenylethyl beta-primeveroside	C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCCC3=CC=CC=C3)O)O)O)O)O)O	-2.20000005	131129;14704521;52325692;52325693;52325694;52325695;101714791;102397351;124905186;124905187;124905188;124905189	HMDB:(41274);SuperNatural:(SN00039260 SN00240283 SN00039263 SN00039262 SN00298801 SN00039261);ZINC bio:(ZINC49600052 ZINC49600055 ZINC49600056 ZINC49600058);additional;MeSH:(131129);Plantcyc:(CPD-14735);PubMed;COCONUT:(CNP0148741);KNApSAcK:(36505);Natural Products:(UNPD101197 UNPD125865);PubChem:(131129 14704521 52325692 52325693 52325694 52325695 101714791 102397351 124905186 124905187 124905188 124905189);CHEBI:(136550);PubChem class - bio and metabolites;Training Set;Biocyc:(CPD-14735)	20637822	439.15756	173.82	569_clematis_10_species_crop2-10min_231127_orbi_siri_572	572
870	1	1	1	1	0.10534018097699754	-65.24448273277694	0.9959798994974876	25.403945822405717	C16H30O8	[M + Na]+	HFTPLRNDWPXLHU	InChI=1S/C16H30O8/c1-2-3-4-5-6-7-10(8-12(18)19)23-16-15(22)14(21)13(20)11(9-17)24-16/h10-11,13-17,20-22H,2-9H2,1H3,(H,18,19)	null	CCCCCCCC(CC(=O)O)OC1C(C(C(C(O1)CO)O)O)O	0.899999976	129086453	PubChem:(129086453)	2	373.18338	213.96	981_clematis_10_species_crop2-10min_231127_orbi_siri_984	984
871	1	1	1	7	0.10527216560476899	-366.3689127109292	0.12814070351758794	94.99112915657403	C33H43N3O7	[M + H]+	AQBJMSLHGQEEPI	InChI=1S/C33H43N3O7/c1-4-12-21(2)35-18-10-6-9-15-25(38)34-22(3)28(23-13-7-5-8-14-23)42-32(41)26-24-16-17-33(43-24)27(26)30(39)36(19-11-20-37)29(33)31(35)40/h5-8,10,13-14,16-17,21-22,24,26-29,37H,4,9,11-12,15,18-20H2,1-3H3,(H,34,38)	null	CCCC(C)N1CC=CCCC(=O)NC(C(OC(=O)C2C3C=CC4(C2C(=O)N(C4C1=O)CCCO)O3)C5=CC=CC=C5)C	1.89999998	23755786;24065838	PubChem:(23755786 24065838)	2	594.31794	434.72	1561_clematis_10_species_crop2-10min_231127_orbi_siri_1572	1572
872	1	1	1	1	0.10521467248046382	-103.34408618299601	0.9999999999999999	101.546675447815	C30H46O2	[M + H]+	QGPIUZIWMRUUCS	InChI=1S/C30H46O2/c1-25(2)14-16-30(19-31)17-15-28(6)20(21(30)18-25)8-9-23-27(5)12-11-24(32)26(3,4)22(27)10-13-29(23,28)7/h8,19,21-23H,9-18H2,1-7H3	null	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1)C)C=O)C	7.0999999	10388463;44298827;53373407;89262164;89262165;126738074;139334988	COCONUT:(CNP0188941);Natural Products:(UNPD136627 UNPD144910);PubChem:(10388463 44298827 53373407 89262164 89262165 126738074 139334988);SuperNatural:(SN00330827 SN00256609);PubMed	3178562	439.35714	281.75	1372_clematis_10_species_crop2-10min_231127_orbi_siri_1381	1381
873	1	1	1	2	0.10507094756302611	-185.48274641234246	0.7984924623115578	18.180743052776226	C15H23NO7	[M + H]+	ZJFCLQVNVZTVBY	InChI=1S/C15H23NO7/c16-9(6-17)5-8-1-3-10(4-2-8)22-15-14(21)13(20)12(19)11(7-18)23-15/h1-4,9,11-15,17-21H,5-7,16H2	null	C1=CC(=CC=C1CC(CO)N)OC2C(C(C(C(O2)CO)O)O)O	-1.4422698	90770276;91566104;123834929	PubChem:(90770276 91566104 123834929);PubMed	66	330.1549	156.64	360_clematis_10_species_crop2-10min_231127_orbi_siri_363	363
