molecularFormula_canopus	adduct_canopus	NPC#pathway_canopus	NPC#superclass_canopus	NPC#class_canopus	ConfidenceScore_sirius	CSI:FingerIDScore_sirius	ZodiacScore_sirius	SiriusScore_sirius	molecularFormula_sirius	adduct_sirius	InChIkey2D_sirius	InChI_sirius	name_sirius	smiles_sirius	xlogp_sirius	ionMass_sirius	Unnamed: 0_metAnnot	rank_spec_metAnnot	msms_score_metAnnot	libname_metAnnot	structure_wikidata_metAnnot	structure_inchikey_metAnnot	structure_inchi_metAnnot	structure_smiles_metAnnot	structure_molecular_formula_metAnnot	adduct_metAnnot	structure_exact_mass_metAnnot	structure_nameTraditional_metAnnot	short_inchikey_metAnnot	structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_metAnnot	organism_wikidata_metAnnot	organism_name_metAnnot	organism_taxonomy_ottid_metAnnot	organism_taxonomy_01domain_metAnnot	organism_taxonomy_02kingdom_metAnnot	organism_taxonomy_03phylum_metAnnot	organism_taxonomy_04class_metAnnot	organism_taxonomy_05order_metAnnot	organism_taxonomy_06family_metAnnot	organism_taxonomy_07tribe_metAnnot	organism_taxonomy_08genus_metAnnot	organism_taxonomy_09species_metAnnot	organism_taxonomy_10varietas_metAnnot	matched_domain_metAnnot	matched_kingdom_metAnnot	matched_phylum_metAnnot	matched_class_metAnnot	matched_order_metAnnot	matched_family_metAnnot	matched_tribe_metAnnot	matched_genus_metAnnot	matched_species_metAnnot	score_taxo_metAnnot	score_max_consistency_metAnnot	final_score_metAnnot	rank_final_metAnnot	component_id_metAnnot	structure_taxonomy_npclassifier_01pathway_consensus_metAnnot	freq_structure_taxonomy_npclassifier_01pathway_metAnnot	structure_taxonomy_npclassifier_02superclass_consensus_metAnnot	freq_structure_taxonomy_npclassifier_02superclass_metAnnot	structure_taxonomy_npclassifier_03class_consensus_metAnnot	freq_structure_taxonomy_npclassifier_03class_metAnnot	shared_id
																	2034.0	1.0	0.62173945	ISDB	http://www.wikidata.org/entity/Q105327264	XFSSKYLJQBBIKJ-UHFFFAOYSA-N	InChI=1S/C11H12O4/c1-7(2)5-11(14)15-10-6-8(12)3-4-9(10)13/h3-6,12-13H,1-2H3	CC(C)=CC(=O)Oc1cc(O)ccc1O	C11H12O4		208.073558864	(2,5-Dihydroxyphenyl) 3-methylbut-2-enoate	XFSSKYLJQBBIKJ	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q80692207	Calea prunifolia	7606947.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Neurolaeneae']	['Calea']	['Calea prunifolia']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.986957788467407	1	1.0	Terpenoids	0.3434343434343434	Monoterpenoids	0.2929292929292929	Cinnamic acids and derivatives	0.2323232323232323	6690
																	2036.0	21.0	0.51427764	ISDB	http://www.wikidata.org/entity/Q76155959	HPPDWCXQOXACSB-SCZZXKLOSA-N	InChI=1S/C10H12O3/c1-6(4-11)8-3-10(13)7(2)9(8)5-12/h4-5,8,10,13H,1,3H2,2H3/t8-,10+/m1/s1	C=C(C=O)[C@H]1C[C@H](O)C(C)=C1C=O	C10H12O3		180.078644244	8,9-Didehydro-7-hydroxydolichodial	HPPDWCXQOXACSB	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	http://www.wikidata.org/entity/Q158231	Centranthus ruber	759056.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Centranthus']	['Centranthus ruber']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	3	9.55711054801941	1	646.0	Terpenoids	1.0	Monoterpenoids	1.0	Iridoids monoterpenoids	1.0	6694
																	2037.0	2.0	0.2076714	ISDB	http://www.wikidata.org/entity/Q105252321	SGHMUAWQXUYUAJ-JALQXBGLSA-N	InChI=1S/C27H36O11/c1-14-8-16(28)11-27(2,3)17(14)12-37-26-25(33)24(32)23(31)20(38-26)13-36-21(29)7-6-15-9-18(34-4)22(30)19(10-15)35-5/h6-10,17,20,23-26,30-33H,11-13H2,1-5H3/b7-6+/t17-,20+,23+,24-,25+,26+/m0/s1	COc1cc(/C=C/C(=O)OC[C@H]2O[C@@H](OC[C@H]3C(C)=CC(=O)CC3(C)C)[C@H](O)[C@@H](O)[C@@H]2O)cc(OC)c1O	C27H36O11		536.2257619719999	6'-Sinapoyljasminoside A	SGHMUAWQXUYUAJ	Terpenoids			http://www.wikidata.org/entity/Q1072101	Gardenia jasminoides	919367.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Gentianales']	['Rubiaceae']	['Gardenieae']	['Gardenia']	['Gardenia jasminoides']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	5.330685615539551	1	413.0	Terpenoids	0.25	Monoterpenoids	0.125	Iridoids monoterpenoids	0.125	6695
																	2038.0	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105125656	JDPPHKXCSVHYOR-UHFFFAOYSA-N	InChI=1S/C29H44O13/c1-15(2)9-22(32)41-24(17(5)6)26(34)37-12-20-13-38-27(42-23(33)10-16(3)4)25-28(20,35)11-21(40-19(8)31)29(25,36)14-39-18(7)30/h13,15-17,21,24-25,27,35-36H,9-12,14H2,1-8H3	CC(=O)OCC1(O)C(OC(C)=O)CC2(O)C(COC(=O)C(OC(=O)CC(C)C)C(C)C)=COC(OC(=O)CC(C)C)C21	C29H44O13	pos_1_1proton1ammonium	600.2781914679999	[6-Acetyloxy-7-(acetyloxymethyl)-4a,7-dihydroxy-1-(3-methylbutanoyloxy)-1,5,6,7a-tetrahydrocyclopenta[c]pyran-4-yl]methyl 3-methyl-2-(3-methylbutanoyloxy)butanoate	JDPPHKXCSVHYOR	Terpenoids	Monoterpenoids	Iridoids monoterpenoids	http://www.wikidata.org/entity/Q157819	Valeriana officinalis	393341.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Valeriana']	['Valeriana officinalis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	3	7.5	1	413.0	Terpenoids	0.25	Monoterpenoids	0.125	Iridoids monoterpenoids	0.125	6697
																	2040.0	81.0|81.0|81.0	0.0|0.0|0.0	MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q105213611|http://www.wikidata.org/entity/Q105012149|http://www.wikidata.org/entity/Q104932480	PRCDDNKVZQBPNG-YBWZTWLNSA-N|GMTBKCJRMNJNFL-UHFFFAOYSA-N|BDYQEBZJCFGMCH-PQNDISRJSA-N	InChI=1S/C18H30O3/c1-11-9-14(20-12(2)19)15-17(11,5)10-13-7-8-18(15,6)21-16(13,3)4/h11,13-15H,7-10H2,1-6H3/t11-,13-,14-,15-,17-,18+/m1/s1|InChI=1S/C17H26O2/c1-11(10-19-14(4)18)9-15-7-5-12(2)16-8-6-13(3)17(15)16/h9,12,15-16H,5-8,10H2,1-4H3|InChI=1S/C17H26O2/c1-12(11-19-14(3)18)6-5-9-17(4)15-8-7-13(2)16(17)10-15/h6-7,15-16H,5,8-11H2,1-4H3/b12-6-/t15-,16-,17+/m0/s1	CC(=O)O[C@@H]1C[C@@H](C)[C@@]2(C)C[C@H]3CC[C@](C)(OC3(C)C)[C@H]12|CC(=O)OCC(C)=CC1CCC(C)C2CCC(C)=C12|CC(=O)OC/C(C)=C\CC[C@]1(C)[C@H]2CC=C(C)[C@@H]1C2	C18H30O3|C17H26O2|C17H26O2	pos_1_1proton|pos_1_1proton1methanol|pos_1_1proton1methanol	294.21949482|262.193280072|262.193280072	[(1S,2S,3R,5R,6R,8R)-1,5,6,9,9-pentamethyl-10-oxatricyclo[6.2.2.02,6]dodecan-3-yl] acetate|[3-(3,7-dimethyl-2,4,5,6,7,7a-hexahydro-1H-inden-4-yl)-2-methylprop-2-enyl] acetate|trans-alpha-Bergamatol acetate	PRCDDNKVZQBPNG|GMTBKCJRMNJNFL|BDYQEBZJCFGMCH	Terpenoids|Terpenoids|Terpenoids	Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids	nan|Valerenane sesquiterpenoids|Bergamotane sesquiterpenoids	http://www.wikidata.org/entity/Q157819|http://www.wikidata.org/entity/Q157819|http://www.wikidata.org/entity/Q157819	Valeriana officinalis|Valeriana officinalis|Valeriana officinalis	393341.0|393341.0|393341.0	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Dipsacales']|['Dipsacales']|['Dipsacales']	['Caprifoliaceae']|['Caprifoliaceae']|['Caprifoliaceae']	['Unknown']|['Unknown']|['Unknown']	['Valeriana']|['Valeriana']|['Valeriana']	['Valeriana officinalis']|['Valeriana officinalis']|['Valeriana officinalis']	nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']	['Dipsacales']|['Dipsacales']|['Dipsacales']	['Caprifoliaceae']|['Caprifoliaceae']|['Caprifoliaceae']	nan|nan|nan	nan|nan|nan	nan|nan|nan	6|6|6	2|2|2	7.0|7.0|7.0	1|1|1	69.0	Terpenoids	0.925925925925926	Sesquiterpenoids	0.7407407407407407	Furans	0.2222222222222222	67
																	2041.0	7.0	0.34974524	ISDB	http://www.wikidata.org/entity/Q105248646	RZWFBNOFUAHADD-VTYRCZOESA-N	InChI=1S/C34H50O6Si/c1-19-16-26(39-30(37)22(19)18-38-41(8,9)31(3,4)5)20(2)23-10-11-24-21-17-29-34(40-29)28(36)13-12-27(35)33(34,7)25(21)14-15-32(23,24)6/h12-13,20-21,23-26,29H,10-11,14-18H2,1-9H3/t20-,21-,23+,24-,25-,26+,29+,32+,33-,34+/m0/s1	CC1=C(CO[Si](C)(C)C(C)(C)C)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56C(=O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1	C34H50O6Si		582.3376658499999	4-oxo-27-TBDMS Withaferin A	RZWFBNOFUAHADD	Terpenoids	Steroids	Ergostane steroids	http://www.wikidata.org/entity/Q17401058	Withania aristata	387708.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Physaleae']	['Withania']	['Withania aristata']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.398980975151062	1	80.0	Terpenoids	0.7333333333333333	Steroids	0.7333333333333333	Spirostane steroids	0.2666666666666666	6702
																	2043.0	1.0	0.46809444	ISDB	http://www.wikidata.org/entity/Q105258281	SQOIMYLIMNRUHZ-MPNCXHPSSA-N	InChI=1S/C37H60O13/c1-6-22(39)32(44)47-25-14-36(45)27(40)11-19-20(35(36,5)13-24(25)48-33-31(43)30(42)29(41)26(15-38)49-33)8-9-34(4)21(19)12-23-28(34)18(3)37(50-23)10-7-17(2)16-46-37/h17-31,33,38-43,45H,6-16H2,1-5H3/t17-,18+,19-,20+,21+,22-,23+,24-,25-,26-,27-,28+,29-,30+,31-,33-,34+,35-,36+,37-/m1/s1	CC[C@@H](O)C(=O)O[C@@H]1C[C@]2(O)[C@H](O)C[C@H]3[C@@H]4C[C@@H]5O[C@]6(CC[C@@H](C)CO6)[C@@H](C)[C@@H]5[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C37H60O13		712.40339198	[(1S,2S,4S,5'R,6R,7S,8R,9S,12S,13R,15R,16R,18R,19R)-18,19-dihydroxy-5',7,9,13-tetramethyl-15-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-16-yl] (2R)-2-hydroxybutanoate	SQOIMYLIMNRUHZ	Terpenoids	Steroids	Furostane steroids	http://www.wikidata.org/entity/Q4268503	Allium karataviense	942185.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asparagales']	['Amaryllidaceae']	['Allieae']	['Allium']	['Allium karataviense']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.8723777532577515	1	80.0	Terpenoids	0.7333333333333333	Steroids	0.7333333333333333	Spirostane steroids	0.2666666666666666	6704
																	2045.0	3.0	0.47881994	ISDB	http://www.wikidata.org/entity/Q105139231	KDMLORXVQJDOAH-GJJOIAPYSA-N	InChI=1S/C35H58O12/c1-5-20-26(40)30(47-34(20,4)16-38)23(14-36)35(44)25(39)13-22-19-7-6-17-12-18(8-10-32(17,2)21(19)9-11-33(22,35)3)45-31-29(43)28(42)27(41)24(15-37)46-31/h7,17-18,20-31,36-44H,5-6,8-16H2,1-4H3/t17-,18-,20-,21-,22-,23+,24+,25-,26-,27+,28-,29+,30-,31+,32-,33-,34+,35+/m0/s1	CC[C@H]1[C@H](O)[C@H]([C@@H](CO)[C@@]2(O)[C@@H](O)C[C@H]3C4=CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]1(C)CO	C35H58O12		670.392827296	Ajugasalicioside F	KDMLORXVQJDOAH	Terpenoids	Steroids	Stigmastane steroids	http://www.wikidata.org/entity/Q15339995	Ajuga salicifolia	5793032.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Unknown']	['Ajuga']	['Ajuga salicifolia']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.915279746055603	1	80.0	Terpenoids	0.7333333333333333	Steroids	0.7333333333333333	Spirostane steroids	0.2666666666666666	6711
																	2046.0	42.0	0.20013158	ISDB	http://www.wikidata.org/entity/Q105187210	NXJMINIPVKJRHD-CXGIBTINSA-N	InChI=1S/C47H76O17/c1-22-30(51)33(54)35(56)38(60-22)63-37-31(52)25(50)20-59-40(37)62-29-11-12-43(4)27(44(29,5)21-49)10-13-46(7)28(43)9-8-23-24-18-42(2,3)14-16-47(24,17-15-45(23,46)6)41(58)64-39-36(57)34(55)32(53)26(19-48)61-39/h8,22,24-40,48-57H,9-21H2,1-7H3/t22-,24-,25-,26+,27+,28+,29-,30-,31-,32+,33+,34-,35+,36+,37+,38-,39-,40-,43-,44-,45+,46+,47-/m0/s1	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@]6(C(=O)O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]45C)[C@]3(C)CO)OC[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	C47H76O17		912.5082509720004	(4R)-23-Hydroxy-3beta-[[2-O-(alpha-L-rhamnopyranosyl)-alpha-L-arabinopyranosyl]oxy]olean-12-en-28-oic acid beta-D-glucopyranosyl ester	NXJMINIPVKJRHD	Terpenoids	Triterpenoids	Oleanane triterpenoids	http://www.wikidata.org/entity/Q161083	Lonicera japonica	2125.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Lonicera']	['Lonicera japonica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']		['Lonicera']		7	3	9.300526320934296	1	72.0	Terpenoids	0.7052631578947368	Triterpenoids	0.5894736842105263	Oleanane triterpenoids	0.4842105263157895	6712
																	2047.0	2.0	0.2909285	ISDB	http://www.wikidata.org/entity/Q104916736	AQBROBGRFDFAQQ-HSZRJFAPSA-N	InChI=1S/C25H48O6/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(30-22(2)28)19-25(29)31-24(20-26)21-27/h23-24,26-27H,3-21H2,1-2H3/t23-/m1/s1	CCCCCCCCCCCCCCCCC[C@H](CC(=O)OC(CO)CO)OC(C)=O	C25H48O6		444.345089256	2-O-[(R)-3-Acetoxyicosanoyl]glycerol	AQBROBGRFDFAQQ	Fatty acids	Glycerolipids	Diacylglycerols	http://www.wikidata.org/entity/Q157393	Paulownia tomentosa	305916.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Paulowniaceae']	['Unknown']	['Paulownia']	['Paulownia tomentosa']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.163714051246643	1	210.0	Fatty acids	0.5	Glycerolipids	0.5	Apocarotenoids (Ψ-)	0.25	6713
																	2049.0	4.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104667391	AXCXHFKZHDEKTP-UHFFFAOYSA-N	InChI=1S/C10H10O2/c1-12-10-6-4-9(5-7-10)3-2-8-11/h2-8H,1H3	COc1ccc(C=CC=O)cc1	C10H10O2	pos_1_1proton	162.06807956	2-Propenal, 3-(4-methoxyphenyl)-	AXCXHFKZHDEKTP	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q10926628	Morina chinensis	68249.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Morina']	['Morina chinensis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	1	6.5	1	164.0	Shikimates and Phenylpropanoids	0.7692307692307693	Coumarins	0.5384615384615384	Simple coumarins	0.5384615384615384	6717
																	2050.0	1.0	0.8607143	ISDB	http://www.wikidata.org/entity/Q105156389	LRYANVPYFCKCCR-UHFFFAOYSA-N	InChI=1S/C14H12O4/c15-11-6-7-13(16)12(8-11)14(17)18-9-10-4-2-1-3-5-10/h1-8,15-16H,9H2	O=C(OCc1ccccc1)c1cc(O)ccc1O	C14H12O4		244.073558864	Benzyl 2,5-dihydroxybenzoate	LRYANVPYFCKCCR	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids	http://www.wikidata.org/entity/Q149471	Populus balsamifera	374288.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Salicaceae']	['Saliceae']	['Populus']	['Populus balsamifera']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	7.442857265472412	1	-1.0							6718
																	2053.0	1.0	0.24544212	ISDB									QFVKRCNWCDNNRR							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.9817684888839722	1	637.0	Carbohydrates	0.1666666666666666	Monoterpenoids	0.1666666666666666	Iridoids monoterpenoids	0.0833333333333333	6721
																	2055.0	7.0	0.2650648	ISDB	http://www.wikidata.org/entity/Q25105925	KEOITPILCOILGM-LLJOFIFVSA-N	InChI=1S/C41H66O12/c1-21-28(44)30(46)31(47)33(51-21)53-32-29(45)24(43)19-50-34(32)52-27-11-12-37(4)25(38(27,5)20-42)10-13-40(7)26(37)9-8-22-23-18-36(2,3)14-16-41(23,35(48)49)17-15-39(22,40)6/h8,21,23-34,42-47H,9-20H2,1-7H3,(H,48,49)/t21-,23-,24-,25+,26+,27-,28-,29-,30+,31+,32+,33-,34-,37-,38-,39+,40+,41-/m0/s1	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@]6(C(=O)O)CC[C@]45C)[C@]3(C)CO)OC[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	C41H66O12		750.4554275520003	alpha-Hederin	KEOITPILCOILGM	Terpenoids	Triterpenoids	Oleanane triterpenoids	http://www.wikidata.org/entity/Q10893419	Lonicera macrantha	2125.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Lonicera']	['Lonicera japonica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']		['Lonicera']		7	3	9.560259222984314	1	72.0	Terpenoids	0.7052631578947368	Triterpenoids	0.5894736842105263	Oleanane triterpenoids	0.4842105263157895	6731
																	2056.0	4.0	0.24192819	ISDB	http://www.wikidata.org/entity/Q105269089	UAUUFLADFXKYAU-UHFFFAOYSA-N	InChI=1S/C36H58O8/c1-20-27(40)28(41)29(42)30(43-20)44-26-11-12-32(4)23(33(26,5)18-37)10-13-34(6)24(32)9-8-21-22-16-31(2,3)14-15-36(22,19-38)25(39)17-35(21,34)7/h8-9,20,23-30,37-42H,10-19H2,1-7H3	CC1OC(OC2CCC3(C)C(CCC4(C)C3C=CC3=C5CC(C)(C)CCC5(CO)C(O)CC34C)C2(C)CO)C(O)C(O)C1O	C36H58O8		618.413168816	2-[[8-Hydroxy-4,8a-bis(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-1,2,3,4a,5,6,7,8,9,10,12,14a-dodecahydropicen-3-yl]oxy]-6-methyloxane-3,4,5-triol	UAUUFLADFXKYAU	Terpenoids	Triterpenoids	Oleanane triterpenoids	http://www.wikidata.org/entity/Q10958391	Bupleurum smithii var. parvifolium	657161.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Apiales']	['Apiaceae']	['Bupleureae']	['Bupleurum']	['Bupleurum smithii']	Bupleurum smithii var. parvifolium	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	6.467712759971619	1	72.0	Terpenoids	0.7052631578947368	Triterpenoids	0.5894736842105263	Oleanane triterpenoids	0.4842105263157895	6733
																	2057.0	1.0	0.2049054	ISDB	http://www.wikidata.org/entity/Q104400392	QJPFBEKUNZRFKX-JJBABQCSSA-N	InChI=1S/C38H50O5/c1-23(2)14-16-28(26(7)8)21-37-22-29(17-15-24(3)4)36(9,10)38(35(37)43,19-18-25(5)6)34(42)31(33(37)41)32(40)27-12-11-13-30(39)20-27/h11-14,20,28-29,39-40H,3,5,7,15-19,21-22H2,1-2,4,6,8-10H3/t28-,29+,37+,38-/m0/s1	C=C(C)CC[C@@H]1C[C@]2(C[C@H](CC=C(C)C)C(=C)C)C(=O)C(=C(O)c3cccc(O)c3)C(=O)[C@@](CCC(=C)C)(C2=O)C1(C)C	C38H50O5		586.3658247	14-Deoxygarcinol	QJPFBEKUNZRFKX	Polyketides	Meroterpenoids	Polyprenylated cyclic polyketides (Hop meroterpenoids)	http://www.wikidata.org/entity/Q15366705	Moronobea coccinea	373208.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Clusiaceae']	['Symphonieae']	['Moronobea']	['Moronobea coccinea']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	5.3196216225624084	1	446.0	Polyketides	0.1428571428571428	Steroids	0.1428571428571428	Stigmastane steroids	0.1428571428571428	6735
																	2058.0	2.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105238517	RKMQRPYLPSKVNS-UHFFFAOYSA-N	InChI=1S/C6H10O4/c1-10-6(9)3-2-5(8)4-7/h7H,2-4H2,1H3	COC(=O)CCC(=O)CO	C6H10O4	pos_1_1proton1acetonitrile	146.0579088	Methyl 5-hydroxy-4-oxopentanoate	RKMQRPYLPSKVNS	Fatty acids	Fatty Acids and Conjugates		http://www.wikidata.org/entity/Q15236257	Clematis delavayi	72769.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']	['Clematis delavayi']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']		8	2	9.0	1	45.0	Fatty acids	1.0	Fatty Acids and Conjugates	1.0			6736
																	2059.0	2.0	0.38540804	ISDB	http://www.wikidata.org/entity/Q115946624	IVMLONFHZYZDNZ-UHFFFAOYSA-N	InChI=1S/C27H36O/c1-23(2)13-9-16-26(5)18-11-20-27(6)19-10-17-24(3)14-7-8-15-25(4)21-12-22-28/h7-8,10-15,17-22H,9,16H2,1-6H3	CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=O	C27H36O		376.276615772	4,9,13,17,21-Pentamethyldocosa-2,4,6,8,10,12,14,16,20-nonaenal	IVMLONFHZYZDNZ	Terpenoids	Apocarotenoids	Apocarotenoids (Ψ-)	http://www.wikidata.org/entity/Q23501	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	6.041632175445557	1	43.0	Terpenoids	0.6710526315789473	Carotenoids (C40)	0.3026315789473684	Carotenoids (C40, β-β)	0.2763157894736842	674
